Round Number,Team_1,Team_2,Group ,Result
1,England,South Africa,Group A,
1,West Indies,Pakistan,Group A,
1,New Zealand,Sri Lanka,Group A,
1,Afghanistan,Australia,Group A,
1,South Africa,Bangladesh,Group A,
1,England,Pakistan,Group A,
1,Afghanistan,Sri Lanka,Group A,
1,South Africa,India,Group A,
1,Bangladesh,New Zealand,Group A,
1,Australia,West Indies,Group A,
1,Pakistan,Sri Lanka,Group A,
1,England,Bangladesh,Group A,
1,Afghanistan,New Zealand,Group A,
1,India,Australia,Group A,
1,South Africa,West Indies,Group A,
1,Bangladesh,Sri Lanka,Group A,
1,Australia,Pakistan,Group A,
1,India,New Zealand,Group A,
1,England,West Indies,Group A,
1,Sri Lanka,Australia,Group A,
1,South Africa,Afghanistan,Group A,
1,India,Pakistan,Group A,
1,West Indies,Bangladesh,Group A,
1,England,Afghanistan,Group A,
1,New Zealand,South Africa,Group A,
1,Australia,Bangladesh,Group A,
1,England,Sri Lanka,Group A,
1,India,Afghanistan,Group A,
1,West Indies,New Zealand,Group A,
1,Pakistan,South Africa,Group A,
1,Bangladesh,Afghanistan,Group A,
1,England,Australia,Group A,
1,New Zealand,Pakistan,Group A,
1,West Indies,India,Group A,
1,Sri Lanka,South Africa,Group A,
1,Pakistan,Afghanistan,Group A,
1,New Zealand,Australia,Group A,
1,England,India,Group A,
1,Sri Lanka,West Indies,Group A,
1,Bangladesh,India,Group A,
1,England,New Zealand,Group A,
1,Afghanistan,West Indies,Group A,
1,Pakistan,Bangladesh,Group A,
1,Sri Lanka,India,Group A,
1,Australia,South Africa,Group A,
Semi Finals,To be announced,To be announced,,
Semi Finals,To be announced,To be announced,,
Finals,To be announced,To be announced,,
